t,MTS_F,MTS,Laser,Strain Guage 1,Strain Guage 2,MTS_stress,Comment
110.076,2829.269038,0.055919980008058236,0.028073836910549734,0.011391,0.023639,59.796373040711075,
110.619,2835.906033,0.05680474320907364,0.0283255712657015,0.011456,0.023763,59.936645395004355,
111.165,2847.88547,0.05734662324145268,0.02873284149028607,0.011499,0.023855,60.18982983029442,
111.708,2851.405235,0.05766231529735321,0.029097329275201873,0.011539,0.02392,60.26421977982867,
112.27,2850.703214,0.05837341145095455,0.029303336022736617,0.011571,0.024023,60.249382622586076,
112.812,2863.690598,0.058975500375820125,0.0295369653454488,0.011611,0.024136,60.52386993646696,
113.354,2863.024,0.05959069930146893,0.029964107703241816,0.01167,0.024294,60.509781441473784,
113.899,2868.957364,0.060291221133450826,0.030263739789761497,0.011819,0.024776,60.63518261130425,
114.443,2873.76524,0.06097288722356516,0.030597690833319844,0.009867,0.018392,60.736796682984306,
114.987,2864.782273,0.06146942175940757,0.030987848082036775,0.009311,0.016747,60.546942399588154,
115.533,2888.509287,0.06204005747251704,0.03133990415803449,0.009091,0.016063,61.04841092775934,
116.077,2887.180922,0.06282039924753995,0.03159408765284843,0.008933,0.01567,61.020336040568566,
116.617,2892.739123,0.06358034768801107,0.03198815112431776,0.008834,0.015438,61.13780817063725,
117.163,2900.187628,0.06379178016978061,0.032232693069322214,0.00877,0.015295,61.29523172336183,
117.702,2908.28985,0.06463780682527155,0.032628120618578164,0.008725,0.01519,61.46647153218296,
118.247,2906.864876,0.06526239315888877,0.032908252593104065,0.008686,0.015106,61.43635482156517,
118.789,2909.040175,0.06568274941857423,0.033336200996861805,0.008648,0.015038,61.482329590571595,
119.336,2913.555005,0.06638413446048418,0.03363738317177532,0.008628,0.015108,61.577750158665125,
119.878,2928.96565,0.06708802820624772,0.03390957869372501,0.00877,0.015334,61.903452898433336,
120.426,2921.505874,0.06733889859160826,0.03410957109829183,0.008376,0.015174,61.74579113403235,
120.971,2933.47565,0.0683217440207068,0.034509555907425694,0.008277,0.015061,61.998771384866224,
121.519,2938.991988,0.0688579052873119,0.034726568282556325,0.00821,0.014977,62.11535874380465,
122.062,2941.007882,0.06961842020929826,0.03516406523081971,0.00816,0.014915,62.15796450098627,
122.61,2947.623946,0.06991943769642077,0.03530363518979669,0.008121,0.014873,62.29779448028187,
123.154,2944.516376,0.07062117341736408,0.035799043440452157,0.008089,0.014832,62.23211623884412,
123.697,2959.036614,0.07154049199081462,0.035872672639157235,0.008061,0.014798,62.5390002984462,
124.241,2958.29595,0.07214727461966439,0.036418644773218246,0.008036,0.014776,62.523346424513754,
124.787,2960.550145,0.07280558009109886,0.03678204749625849,0.008022,0.014924,62.57098865412009,
125.33,2961.617667,0.07313106418462173,0.037137823784401384,0.008086,0.015177,62.593550645533355,
125.877,2971.835612,0.07404978930124684,0.03736869394977253,0.007993,0.014983,62.80950608940354,
126.418,2974.035063,0.07436677617203954,0.03774009512892481,0.007916,0.014862,62.855991308982986,
126.965,2976.904331,0.07538150641785792,0.03795853358537765,0.00784,0.014719,62.916633056861116,
127.507,2991.527617,0.07588359786761258,0.03844659441704659,0.007784,0.014631,63.22569502763613,
128.054,3007.562996,0.07640637938033182,0.03876594362793529,0.007742,0.014568,63.56460147013232,
128.597,2991.249063,0.07675827230259322,0.03917079571462571,0.007703,0.014515,63.21980781130136,
129.14,2997.401406,0.0775815317962299,0.0395417318672597,0.007666,0.014466,63.34983708464414,
129.685,3005.830486,0.0780259500326618,0.03990389451958496,0.007629,0.014412,63.52798501094609,
130.228,3012.963404,0.07896015897737262,0.04024215480887796,0.007594,0.014394,63.678738657866255,
130.773,3019.608449,0.07914839269232377,0.0405068789047695,0.007603,0.014576,63.81918114826059,
131.316,3015.199888,0.07997990663089818,0.040841077962470884,0.00751,0.014397,63.726006566915345,
131.861,3017.030616,0.08060362975458735,0.04109972571185869,0.007362,0.010821,63.76469885561386,
132.406,3013.588138,0.0809466747750854,0.04154019882983835,0.004293,0.00487,63.69194236059423,
132.951,3028.641332,0.08188347334958056,0.04199586281407691,0.004178,0.004657,64.01009040229283,
133.494,3033.676238,0.08265860888972439,0.04226303604963062,0.004109,0.004526,64.1165027347212,
